ts	imei	mwra	c.dogalize	c.android.chrome	c.katana	c.android.youtube	c.android.gm	c.updateassist	c.android.vending	c.UCMobile.intl	c.UCMobile.x86	c.raider
2018-05-05 10:00:00	3590433799317662121	1.00000	11.97002	15.25610	10.99463	12.94905	9.87441	40.06991	39.05778	18.98343	71.44379	25.30727
2018-05-05 10:01:00	3590433799317661875	0.00000	9.06416	8.26843	12.37275	12.62434	11.03110	96.66128	29.37613	5.72059	1.58695	93.97586
2018-05-05 10:02:00	3590433799317662436	0.00000	10.71737	10.70129	11.52100	12.78995	8.83190	69.44777	78.92569	36.56047	19.09821	13.74044
2018-05-05 10:03:00	359043379931766726	0.00000	11.38573	10.28395	14.22024	12.20206	10.84051	73.38944	1.86082	71.05049	30.04595	17.95979
2018-05-05 10:04:00	359043379931766098	1.00000	9.08043	14.14611	9.68923	13.12646	8.82400	58.35019	76.91941	40.13552	39.93518	54.04827
2018-05-05 10:05:00	863033069630348891	1.00000	13.33874	15.94627	10.55827	12.33971	10.56274	0.07007	53.69638	58.71255	85.29345	55.41335
2018-05-05 10:06:00	8630330696303481602	1.00000	16.70785	14.63996	14.16997	15.02633	2.90955	6.29233	41.05807	68.23151	16.26341	86.95171
2018-05-05 10:07:00	3590433799317661842	0.00000	10.82725	16.14348	9.45410	7.53308	6.68150	64.32150	16.01514	50.56229	50.34898	47.19519
2018-05-05 10:08:00	3590433799317661289	0.00000	10.11594	10.09263	10.54112	14.19352	9.32339	79.71296	33.20497	28.53739	30.68019	28.94148
2018-05-05 10:09:00	8630330696303482279	0.00000	9.05441	13.42199	10.72054	8.80730	7.63520	46.04115	49.15153	83.06885	98.48950	94.44866
2018-05-05 10:10:00	863033069630348784	0.00000	9.26527	3.96417	11.32405	11.59089	9.77640	80.23384	34.15068	59.65882	49.94508	58.29707
2018-05-05 10:11:00	863033069630348107	1.00000	8.71281	11.20755	13.55143	11.79122	13.87891	18.57742	61.98842	39.76423	72.15655	40.88551
2018-05-05 10:12:00	8630330696303482378	0.00000	9.70301	8.74430	15.24880	14.25262	8.98683	94.46314	50.12637	81.30013	32.46937	96.16943
2018-05-05 10:13:00	8630330696303481339	1.00000	16.30032	13.25477	8.92475	14.28572	7.55493	77.10238	72.53090	60.22900	29.49907	6.88564
2018-05-05 10:14:00	8630330696303482139	1.00000	10.43576	12.26957	12.38988	10.12296	11.92686	67.41341	48.23193	31.22710	74.98480	97.07939
2018-05-05 10:15:00	863033069630348917	0.00000	11.05777	13.15795	11.10235	14.85935	9.27634	38.55678	22.63961	94.34678	56.21608	99.44657
2018-05-05 10:16:00	863033069630348503	1.00000	12.30072	10.07860	13.75490	12.34646	11.98076	86.02936	88.52303	12.36704	25.17144	78.03933
2018-05-05 10:17:00	3590433799317662097	0.00000	6.61365	12.40202	9.26497	6.92264	10.87453	39.57832	7.36565	58.51564	7.79280	58.24259
2018-05-05 10:18:00	863033069630348016	1.00000	17.00871	7.89919	10.41995	14.91618	12.85847	49.01770	85.47140	14.67610	1.90921	38.11814
2018-05-05 10:19:00	359043379931766536	1.00000	11.67452	8.38515	8.29632	12.55226	10.58827	40.90718	9.08868	98.17211	7.76525	71.96505
2018-05-05 10:20:00	863033069630348636	0.00000	16.16588	14.08857	12.86498	13.18917	7.69328	27.01202	35.55144	25.48242	10.21384	44.65063
2018-05-05 10:21:00	359043379931766734	0.00000	7.97866	10.91586	14.85332	11.49207	8.26575	41.15270	56.36047	90.81793	91.41957	20.36977
2018-05-05 10:22:00	863033069630348909	1.00000	8.79592	13.91747	12.11216	10.34008	8.51382	89.11715	30.32416	41.77068	67.24727	57.87731
2018-05-05 10:23:00	8630330696303481172	1.00000	14.68738	7.97968	7.52198	14.37776	10.70784	68.55570	81.89421	60.08802	82.85219	42.72432
2018-05-05 10:24:00	8630330696303482261	0.00000	8.03697	9.91591	13.89562	13.28796	6.20270	78.76475	28.51074	83.45029	67.78608	5.55533
2018-05-05 10:25:00	359043379931766783	1.00000	16.38374	10.11013	11.83958	16.07617	13.00008	44.62179	69.27317	89.87342	91.74051	44.35188
2018-05-05 10:26:00	3590433799317662113	1.00000	10.43826	11.18129	8.20688	13.01873	9.84703	28.48859	66.72440	11.29147	25.04972	1.70846
2018-05-05 10:27:00	3590433799317661412	0.00000	14.33697	11.92676	15.62332	14.64190	7.76539	92.49365	45.86039	72.67503	45.65810	5.45516
2018-05-05 10:28:00	3590433799317661826	0.00000	11.88907	11.13026	16.14083	13.24756	10.25875	54.64644	17.50830	98.26411	85.33674	10.83914
2018-05-05 10:29:00	359043379931766288	0.00000	8.36308	11.70052	11.34079	10.53357	8.82314	83.94113	39.91554	66.37024	18.30611	61.82952
2018-05-05 10:30:00	3590433799317661495	1.00000	12.62705	7.41033	7.87446	12.05111	14.79634	61.01410	51.15240	89.84661	45.95240	66.28980
2018-05-05 10:31:00	359043379931766486	1.00000	14.34124	10.76368	8.67838	13.69067	14.64025	58.58446	98.50950	94.34424	40.33179	10.86540
2018-05-05 10:32:00	8630330696303482139	1.00000	14.34108	10.19586	10.41551	11.11258	13.26847	20.29377	30.39502	39.38266	83.20719	45.33127
2018-05-05 10:33:00	359043379931766098	1.00000	11.21269	12.92714	9.66686	12.69329	13.96079	45.71541	16.28610	24.41433	42.13065	27.06444
2018-05-05 10:34:00	3590433799317661040	0.00000	10.70104	8.29320	14.10206	12.81022	8.86068	58.71675	69.76988	43.92173	15.83390	46.01729
2018-05-05 10:35:00	3590433799317662261	1.00000	14.12535	11.92016	12.23743	12.80458	11.90652	59.49475	36.03923	0.55848	27.85148	72.75662
2018-05-05 10:36:00	3590433799317661545	1.00000	10.90049	13.81125	10.59443	14.02574	9.42664	86.17596	29.90679	35.54611	33.84707	5.31783
2018-05-05 10:37:00	863033069630348800	1.00000	14.13108	15.49161	9.52769	15.71894	6.25430	35.93864	41.56928	2.36124	39.61814	84.69295
2018-05-05 10:38:00	359043379931766254	0.00000	10.14116	9.60930	14.02740	12.33366	9.68519	49.50930	48.95103	8.61796	95.04975	44.88581
2018-05-05 10:39:00	3590433799317661446	1.00000	12.73966	14.37605	14.44225	12.14858	8.14318	73.39086	50.27706	66.69416	49.02745	47.46978
2018-05-05 10:40:00	8630330696303481644	0.00000	13.02023	12.76748	14.89796	12.40769	12.28470	89.37795	80.30972	15.22223	32.64986	15.18842
2018-05-05 10:41:00	3590433799317662477	1.00000	15.54268	8.26655	9.95797	15.34400	13.48212	56.03768	9.04463	31.23452	22.61507	15.04026
2018-05-05 10:42:00	8630330696303482444	1.00000	15.88306	14.73021	11.16224	13.19538	8.21165	39.90081	51.68641	85.74096	61.52835	80.37937
2018-05-05 10:43:00	3590433799317662279	0.00000	11.59628	10.25521	12.37443	14.48656	7.77235	28.11440	64.93039	69.84591	51.12684	87.69291
2018-05-05 10:44:00	8630330696303482196	1.00000	13.79305	12.94222	13.42720	13.97650	8.40587	46.66437	82.92404	40.23109	87.69382	44.07000
2018-05-05 10:45:00	3590433799317662139	1.00000	10.57277	11.30942	8.23632	10.43565	10.23045	7.01967	29.37482	1.74049	0.32076	17.36845
2018-05-05 10:46:00	863033069630348321	0.00000	9.84840	11.58732	13.65436	11.61983	8.23099	26.40892	46.85793	67.20307	98.65373	52.82250
2018-05-05 10:47:00	359043379931766486	0.00000	8.98446	14.11757	11.42668	13.19036	5.78656	34.43981	58.55917	48.43887	63.11826	60.62535
