latitude	longitude	store_name	code	location	imei
41.6764	-91.58045	Coralville	US	America/Chicago	359043379931766130
13.51825	99.95469	Damnoen Saduak	TH	Asia/Bangkok	8630330696303481412
37.49223	15.07041	Catania	IT	Europe/Rome	359043379931766320
43.71032	-1.05366	Dax	FR	Europe/Paris	3590433799317661917
21.53889	71.57737	Gariadhar	IN	Asia/Kolkata	8630330696303481883
42.30865	-83.48216	Canton	US	America/Detroit	863033069630348644
49.952431	15.268654	Kutná Hora	CZ	Europe/Prague	8630330696303481982
52.66277	-2.01111	Great Wyrley	GB	Europe/London	3590433799317661594
48.15659	28.28489	Soroca	MD	Europe/Chisinau	8630330696303481917
44.35056	142.45778	Nayoro	JP	Asia/Tokyo	863033069630348776
36.46917	10.78222	Beni Khiar	TN	Africa/Tunis	359043379931766437
41.82143	41.77921	Kobuleti	GE	Asia/Tbilisi	8630330696303481107
48.46458	9.22796	Pfullingen	DE	Europe/Berlin	359043379931766320
34.85	117.33333	Taozhuang	CN	Asia/Shanghai	359043379931766809
-25.42778	-49.27306	Curitiba	BR	America/Sao_Paulo	8630330696303482014
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	359043379931766817
35.50056	117.63083	Pingyi	CN	Asia/Shanghai	359043379931766049
34.75856	136.13108	Ueno-ebisumachi	JP	Asia/Tokyo	3590433799317661842
50.75767	-1.5443	Lymington	GB	Europe/London	359043379931766049
56.85836	35.90057	Tver	RU	Europe/Moscow	3590433799317662188
41.1053	-7.32097	Custoias	PT	Europe/Lisbon	863033069630348958
43.4125	23.225	Montana	BG	Europe/Sofia	863033069630348792
12.12278	-61.62498	Grenville	GD	America/Grenada	863033069630348099
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	3590433799317662022
51.44889	5.51978	Tongelre	NL	Europe/Amsterdam	8630330696303481743
-22.45667	-47.53028	Santa Gertrudes	BR	America/Sao_Paulo	863033069630348677
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	3590433799317661545
48.90982	2.45012	Bobigny	FR	Europe/Paris	359043379931766726
-6.8	39.25	Magomeni	TZ	Africa/Dar_es_Salaam	863033069630348057
29.84576	-90.10674	Estelle	US	America/Chicago	863033069630348016
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	3590433799317661222
41.55838	-81.56929	Collinwood	US	America/New_York	3590433799317661925
54.48147	53.47103	Oktyabr‚Äôskiy	RU	Asia/Yekaterinburg	359043379931766593
36.76775	2.95924	Cheraga	DZ	Africa/Algiers	359043379931766510
39.71734	-74.96933	Sicklerville	US	America/New_York	359043379931766635
13.70167	-89.10944	Ilopango	SV	America/El_Salvador	3590433799317662261
44.80477	-0.59543	Talence	FR	Europe/Paris	3590433799317661867
40.56754	-89.64066	Pekin	US	America/Chicago	863033069630348917
42.16808	-88.42814	Huntley	US	America/Chicago	3590433799317661198
32.5007	-94.74049	Longview	US	America/Chicago	359043379931766775
8.79577	-75.69947	San Carlos	CO	America/Bogota	359043379931766908
19.8173	-97.35992	Teziutlan	MX	America/Mexico_City	863033069630348321
33.44872	-86.78777	Vestavia Hills	US	America/Chicago	863033069630348396
29.98869	122.20488	Zhoushan	CN	Asia/Shanghai	3590433799317661495
25.67927	-80.31727	Kendall	US	America/New_York	8630330696303482212
27.09978	-82.45426	Venice	US	America/New_York	359043379931766817
28.15112	-82.46148	Lutz	US	America/New_York	8630330696303481099
35.74788	-95.36969	Muskogee	US	America/Chicago	3590433799317661339
-19.32556	-41.25528	Resplendor	BR	America/Sao_Paulo	8630330696303482071
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	863033069630348917
22.10194	85.37752	Barbil	IN	Asia/Kolkata	3590433799317662428
51.12794	4.21372	Temse	BE	Europe/Brussels	8630330696303481586
50.75	2.25	Saint-Omer	FR	Europe/Paris	3590433799317661461
-2.68333	33	Usagara	TZ	Africa/Dar_es_Salaam	863033069630348966
20.28527	-103.42897	Jocotepec	MX	America/Mexico_City	863033069630348883
52.57583	6.61944	Hardenberg	NL	Europe/Amsterdam	8630330696303481370
54.52156	9.5586	Schleswig	DE	Europe/Berlin	3590433799317661438
57.14369	-2.09814	Aberdeen	GB	Europe/London	3590433799317661198
30.35028	112.19028	Jingzhou	CN	Asia/Shanghai	3590433799317661578
5.30383	-1.98956	Tarkwa	GH	Africa/Accra	3590433799317662493
49.07866	30.96755	Zvenihorodka	UA	Europe/Kyiv	8630330696303481602
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	3590433799317661297
38.58894	-89.99038	Fairview Heights	US	America/Chicago	8630330696303481271
0.03813	36.36339	Nyahururu	KE	Africa/Nairobi	3590433799317661545
18.00747	-76.78319	New Kingston	JM	America/Jamaica	359043379931766999
30.75545	20.22625	Ajdabiya	LY	Africa/Tripoli	359043379931766056
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	8630330696303481149
57.30185	39.85331	Gavrilov-Yam	RU	Europe/Moscow	359043379931766403
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	863033069630348206
34.09668	-117.71978	Claremont	US	America/Los_Angeles	8630330696303481065
41.72063	12.6723	Ariccia	IT	Europe/Rome	3590433799317662220
48.86667	2.08333	Marly-le-Roi	FR	Europe/Paris	863033069630348610
51.42708	-0.91979	Lower Earley	GB	Europe/London	359043379931766411
42.64685	-5.55835	Villaquilambre	ES	Europe/Madrid	3590433799317661057
-4.24444	-42.29444	Barras	BR	America/Fortaleza	359043379931766023
52.41667	0.75	Thetford	GB	Europe/London	3590433799317661339
56.56317	-2.58736	Arbroath	GB	Europe/London	3590433799317661784
10.29085	105.75635	Sa Dec	VN	Asia/Ho_Chi_Minh	8630330696303482329
53.78333	-1.06667	Selby	GB	Europe/London	8630330696303482444
44.22639	22.53083	Negotin	RS	Europe/Belgrade	8630330696303481206
22.88783	84.13864	Jashpurnagar	IN	Asia/Kolkata	863033069630348974
46.51872	86.00214	Hoxtolgay	CN	Asia/Urumqi	3590433799317662170
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	3590433799317661107
41.24264	16.50104	Bisceglie	IT	Europe/Rome	863033069630348735
39.72943	-104.83192	Aurora	US	America/Denver	3590433799317661123
55.85	37.56667	Likhobory	RU	Europe/Moscow	3590433799317661925
42.8334	-80.38297	Norfolk County	CA	America/Toronto	359043379931766908
40.67705	-73.89125	Cypress Hills	US	America/New_York	8630330696303481388
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	3590433799317661008
52.31333	6.92917	Oldenzaal	NL	Europe/Amsterdam	863033069630348099
18.18158	76.03889	Osmanabad	IN	Asia/Kolkata	8630330696303481032
