ts	imei	mwra	p.android.packageinstaller	p.android.documentsui	p.android.chrome	p.android.settings	p.android.externalstorage	p.android.gm	p.system	p.browser.provider	p.notifier	p.simulator	p.gms.persistent	p.katana	p.android.defcontainer	p.process.gapps	p.olauncher	p.dogalize	p.android.vending	p.google	p.inputmethod.latin	p.android.gms
2018-05-05 10:00:00	3590433799317662121	1.00000	8.91995	11.89842	8.46244	11.14348	14.47905	8.41508	10.36537	65.46982	0.01284	35.71788	51.77164	40.23305	41.76549	77.40536	26.71819	11.19222	83.50266	82.38566	78.12107	87.46864
2018-05-05 10:01:00	3590433799317661875	0.00000	10.68732	11.59558	11.76198	12.51138	10.27763	14.93886	8.64163	73.15339	0.00082	29.55507	46.06186	66.35247	53.31959	85.89408	65.69709	20.79102	41.56210	67.61604	4.45278	70.51106
2018-05-05 10:02:00	3590433799317662436	0.00000	12.18501	12.21622	14.41556	14.15739	10.33481	10.68808	9.57202	68.51992	0.00378	32.34265	54.17242	46.94977	39.23991	7.70864	47.92101	34.24409	64.01791	20.22138	55.47605	59.70921
2018-05-05 10:03:00	359043379931766726	0.00000	11.99975	11.10215	14.74228	13.20422	6.66961	11.16616	11.70976	69.41012	0.00725	63.09837	67.07612	49.81393	38.59364	38.29756	64.82239	4.02760	8.27247	1.84871	40.46046	4.23065
2018-05-05 10:04:00	359043379931766098	1.00000	9.37085	11.45016	6.69994	12.80673	11.81094	10.15303	9.28381	57.32590	0.00087	42.41401	58.73573	50.35359	65.09269	39.94857	95.61363	18.83120	48.18806	78.73258	72.00605	89.88852
2018-05-05 10:05:00	863033069630348891	1.00000	8.78885	13.77450	8.81269	11.03326	10.83230	9.04228	12.29806	84.06669	0.05025	56.58102	72.11273	43.89751	28.10313	2.80689	34.50607	6.54341	69.38193	48.80486	39.65930	42.47870
2018-05-05 10:06:00	8630330696303481602	1.00000	12.45118	13.63438	11.09038	12.14456	9.18092	8.67615	8.17170	73.42965	1.45786	43.36512	49.56370	58.33860	21.15971	55.78322	42.90746	18.15905	98.28101	31.85748	38.86908	87.06959
2018-05-05 10:07:00	3590433799317661842	0.00000	7.95653	13.51081	8.58968	10.70975	7.29487	10.25563	10.86414	77.11797	0.00416	57.94146	54.74761	37.50326	35.62088	80.33286	11.27688	73.82183	88.95822	36.17848	94.48173	30.49721
2018-05-05 10:08:00	3590433799317661289	0.00000	9.03527	10.99788	10.91466	12.42237	8.84154	15.52785	10.26730	65.16369	0.00207	23.04061	68.96622	50.62092	61.49890	12.80858	27.44629	49.99241	66.42229	61.40044	67.43194	33.78878
2018-05-05 10:09:00	8630330696303482279	0.00000	9.23670	13.28278	11.81591	13.59840	7.24904	12.07134	11.48444	61.04622	0.00077	54.38679	50.43625	49.41439	19.41032	21.75504	74.74423	63.92807	28.64010	37.92108	43.13769	89.86200
2018-05-05 10:10:00	863033069630348784	0.00000	11.72234	11.52694	10.45569	12.57400	12.10296	11.92065	7.09263	57.44301	0.00094	60.16396	51.61149	57.41559	83.21177	97.43972	11.98982	11.66207	9.16407	96.36502	2.12872	47.01599
2018-05-05 10:11:00	863033069630348107	1.00000	11.78795	9.01614	6.21299	12.14978	9.61441	6.47405	14.83575	67.64719	0.00062	44.10016	74.12268	66.58250	52.56674	90.93686	71.34760	35.75923	35.00696	77.01157	88.92777	7.19854
2018-05-05 10:12:00	8630330696303482378	0.00000	10.98769	9.90110	10.32340	10.10180	9.41701	16.20485	10.24210	61.49162	0.00138	41.84148	46.92832	65.29867	30.93003	3.43319	33.43340	2.43302	23.37332	24.19786	27.01754	69.34070
2018-05-05 10:13:00	8630330696303481339	1.00000	14.26176	11.52357	8.06363	9.44680	7.98957	11.13607	9.32125	63.50804	0.96996	37.29833	50.12370	45.48831	58.86660	27.47771	51.73091	84.40972	28.57190	52.77410	4.23434	97.70890
2018-05-05 10:14:00	8630330696303482139	1.00000	6.81213	15.65225	7.41867	11.28972	7.30813	10.89775	7.43154	73.20793	0.00281	32.49479	63.44259	41.09107	57.84553	74.93352	6.35623	19.92742	11.41033	44.96401	82.50406	95.18441
2018-05-05 10:15:00	863033069630348917	0.00000	6.73189	13.13519	12.01009	14.23488	8.46027	9.52698	13.56016	72.25926	0.00516	45.99026	45.52846	51.80165	23.08447	63.40418	38.73228	32.52849	62.21290	3.93072	39.52228	36.96208
2018-05-05 10:16:00	863033069630348503	1.00000	8.51971	12.47139	9.54590	13.79178	14.04596	12.08379	11.69173	60.56512	0.01784	15.55297	42.20509	59.78813	20.31844	75.48411	60.37811	40.25477	20.04984	0.53479	43.81968	9.01636
2018-05-05 10:17:00	3590433799317662097	0.00000	8.37625	11.41001	9.89526	12.74491	6.95361	12.09900	12.30293	70.19034	0.00011	46.00992	54.86577	37.88719	56.05606	5.76000	70.42217	15.34345	53.23218	81.93476	70.75901	90.42746
2018-05-05 10:18:00	863033069630348016	1.00000	9.69890	10.61024	8.75553	14.03504	8.51944	8.55375	10.90009	80.36473	1.96962	40.02329	41.53123	59.17488	45.01678	50.07512	2.13460	59.53779	9.06120	58.16713	6.29815	32.91476
2018-05-05 10:19:00	359043379931766536	1.00000	9.76411	9.60110	7.84756	10.90658	6.65933	9.44982	14.10724	53.67205	0.00952	38.50885	78.37366	39.49433	22.08728	54.58328	71.60620	54.18044	67.02508	10.28084	17.67784	65.52727
2018-05-05 10:20:00	863033069630348636	0.00000	12.14635	12.09738	10.42798	14.74485	9.25607	9.83602	9.03549	65.66919	0.84797	53.42007	63.11262	42.60857	45.89578	97.92635	65.18049	96.53314	98.92921	64.10983	52.01316	49.09791
2018-05-05 10:21:00	359043379931766734	0.00000	9.00311	12.78730	12.25460	10.55614	9.72082	14.06377	11.24263	72.81887	0.00032	28.27780	47.26869	42.17573	54.54300	76.05169	81.55480	12.34448	53.70220	61.50635	81.07124	80.12300
2018-05-05 10:22:00	863033069630348909	1.00000	5.20367	13.78280	8.48013	16.89252	11.83799	8.22236	9.71899	69.52045	0.00054	53.38361	56.05011	47.37510	45.02099	55.88869	10.68069	64.78406	24.59625	83.97155	76.49731	18.92700
2018-05-05 10:23:00	8630330696303481172	1.00000	6.83008	9.21006	7.33964	13.31094	9.89665	9.73353	14.55263	71.82098	0.19329	41.63375	48.57639	41.45792	47.62926	50.40718	3.32204	48.54359	88.28793	47.85585	61.95565	45.49477
2018-05-05 10:24:00	8630330696303482261	0.00000	15.97306	16.69243	13.22380	12.68764	8.23158	14.03885	6.38622	83.80445	0.00029	24.21781	54.60197	50.67202	42.38132	16.61721	60.88366	12.70613	31.81010	61.45858	89.51355	98.92541
2018-05-05 10:25:00	359043379931766783	1.00000	8.79213	10.29058	5.37537	10.06341	9.82880	8.23225	11.07014	61.46397	1.05436	43.81752	50.72734	51.43289	56.23601	1.85255	72.10012	68.88800	82.24138	66.58647	85.04929	80.47167
2018-05-05 10:26:00	3590433799317662113	1.00000	7.51679	12.55987	5.40555	12.02950	13.78249	9.14373	8.31919	67.04256	0.00285	30.61257	52.32453	46.18322	36.82092	81.67304	80.74565	52.07131	20.53543	50.89388	17.90982	0.04264
